# cpu: Apple M5 Max
# cores: 18
# ram_gb: 128
# uname: Darwin Sams-MacBook-Pro.local 25.5.0 Darwin Kernel Version 25.5.0: Tue Jun  9 22:28:34 PDT 2026; root:xnu-12377.121.10~1/RELEASE_ARM64_T6050 arm64
# rustc: rustc 1.97.1 (8bab26f4f 2026-07-14)
# date_utc: 2026-08-18T06:04:05Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
64,insert,209715,16.0,29.36,24.32,22.56
64,remove,209715,16.0,31.49,21.73,16.24
64,get_hit,629145,48.0,19.37,14.73,12.99
64,get_miss,629145,48.0,19.76,5.11,5.48
64,insert,629145,48.0,46.46,27.35,27.02
64,remove,629145,48.0,44.68,36.67,34.36
64,get_hit,1677721,128.0,18.02,17.72,15.81
64,get_miss,1677721,128.0,16.76,13.63,12.35
64,insert,1677721,128.0,36.58,30.08,30.23
64,remove,1677721,128.0,50.46,41.24,42.47
