# host: MacBook-Pro-2.local
# uname: Darwin MacBook-Pro-2.local 25.5.0 Darwin Kernel Version 25.5.0: Mon Apr 27 20:39:42 PDT 2026; root:xnu-12377.121.6~2/RELEASE_ARM64_T6031 arm64
# cpu: Apple M3 Max
# cores: 16
# rustc: rustc 1.96.0 (ac68faa20 2026-05-25)
# date_utc: 2026-06-18T17:30:44Z
value_bytes,op,n,ws_mb,pomap_ns,hashbrown_ns,std_ns
64,insert,209715,16.0,43.02,36.03,36.86
64,remove,209715,16.0,49.91,28.26,29.24
64,get_hit,629145,48.0,30.48,23.28,20.62
64,get_miss,629145,48.0,29.30,8.34,8.34
64,insert,629145,48.0,68.54,45.24,46.59
64,remove,629145,48.0,80.00,48.76,50.01
64,get_hit,1677721,128.0,26.24,30.89,28.06
64,get_miss,1677721,128.0,27.10,20.91,20.44
64,insert,1677721,128.0,53.01,54.53,56.61
64,remove,1677721,128.0,88.41,69.28,66.39
